id,event_date,event_name,weight_class,winner,red_fighter,blue_fighter,red_height_cm,blue_height_cm,red_reach_cm,blue_reach_cm,red_age,blue_age,red_odds,blue_odds,red_avg_td_landed,blue_avg_td_landed,height_diff,reach_diff,avg_td_diff,red_win
31,2024-11-16,,Women's Flyweight,Red,Viviane Araujo,Karine Silva,162.56,165.1,172.72,170.18,37,30,235.0,-290.0,1.86,2.79,-2.539999999999992,2.539999999999992,-0.9299999999999999,1
32,2024-11-16,,Catch Weight,Red,Mauricio Ruffy,James Llontop,180.34,182.88,190.5,185.42,28,25,-1000.0,650.0,0.0,0.0,-2.539999999999992,5.0800000000000125,0.0,1
33,2024-11-16,,Bantamweight,Blue,Jonathan Martinez,Marcus McGhee,172.72,172.72,177.8,175.26,30,34,-105.0,-115.0,0.38,0.46,0.0,2.5400000000000205,-0.08000000000000002,0
34,2024-11-16,,Lightweight,Red,Jim Miller,Damon Jackson,172.72,180.34,180.34,180.34,41,36,195.0,-238.0,1.52,2.3,-7.6200000000000045,0.0,-0.7799999999999998,1
35,2024-11-16,,Lightweight,Red,David Onama,Roberto Romero,180.34,172.72,187.96,177.8,30,24,-1450.0,850.0,0.73,0.0,7.6200000000000045,10.159999999999997,0.73,1
36,2024-11-16,,Heavyweight,Red,Marcin Tybura,Jhonata Diniz,190.5,193.04,198.12,200.66,39,33,-105.0,-115.0,1.42,0.0,-2.539999999999992,-2.539999999999992,1.42,1
37,2024-11-16,,Welterweight,Blue,Mickey Gall,Ramiz Brahimaj,187.96,177.8,187.96,182.88,32,31,-170.0,142.0,1.15,1.51,10.159999999999997,5.0800000000000125,-0.3600000000000001,0
38,2024-11-16,,Welterweight,Blue,Bassil Hafez,Oban Elliott,180.34,182.88,182.88,182.88,32,26,250.0,-310.0,2.21,2.16,-2.539999999999992,0.0,0.04999999999999982,0
39,2024-11-16,,Women's Flyweight,Blue,Veronica Hardy,Eduarda Moura,162.56,167.64,162.56,167.64,29,30,,,0.93,4.37,-5.079999999999984,-5.079999999999984,-3.44,0
40,2024-11-09,,Welterweight,Blue,Neil Magny,Carlos Prates,190.5,185.42,203.2,198.12,37,31,550.0,-800.0,2.12,0.44,5.0800000000000125,5.079999999999984,1.6800000000000002,0
41,2024-11-09,,Middleweight,Blue,Gerald Meerschaert,Reinier de Ridder,185.42,193.04,195.58,198.12,36,34,250.0,-310.0,2.01,6.39,-7.6200000000000045,-2.539999999999992,-4.38,0
42,2024-11-09,,Bantamweight,Red,Gaston Bolanos,Cortavious Romious,170.18,162.56,175.26,172.72,32,30,205.0,-250.0,0.78,1.97,7.6200000000000045,2.539999999999992,-1.19,1
43,2024-11-09,,Women's Strawweight,Blue,Luana Pinheiro,Gillian Robertson,157.48,165.1,157.48,160.02,31,29,360.0,-470.0,1.8,2.68,-7.6200000000000045,-2.5400000000000205,-0.8800000000000001,0
44,2024-11-09,,Middleweight,Red,Mansur Abdul-Malik,Dusko Todorovic,187.96,185.42,200.66,187.96,27,30,-485.0,370.0,0.0,0.92,2.5400000000000205,12.699999999999989,-0.92,1
45,2024-11-09,,Women's Strawweight,Blue,Karolina Kowalkiewicz,Denise Gomes,160.02,157.48,162.56,160.02,39,24,,,0.31,0.72,2.5400000000000205,2.539999999999992,-0.41,0
46,2024-11-09,,Welterweight,Red,Elizeu Zaleski dos Santos,Zachary Scroggin,180.34,190.5,185.42,187.96,37,28,,,0.7,0.0,-10.159999999999997,-2.5400000000000205,0.7,1
47,2024-11-09,,Welterweight,Blue,Matthew Semelsberger,Charles Radtke,185.42,175.26,190.5,182.88,31,34,,,1.01,0.59,10.159999999999997,7.6200000000000045,0.42000000000000004,0
48,2024-11-09,,Bantamweight,Blue,Cody Stamann,Da'Mon Blackshear,167.64,177.8,162.56,182.88,35,30,,,2.17,2.17,-10.160000000000025,-20.319999999999993,0.0,0
49,2024-11-09,,Middleweight,Red,Tresean Gore,Antonio Trocoli,182.88,198.12,190.5,200.66,30,33,,,3.46,0.84,-15.240000000000009,-10.159999999999997,2.62,1
50,2024-11-09,,Women's Bantamweight,Red,Melissa Mullins,Klaudia Sygula,170.18,172.72,172.72,175.26,33,25,,,1.53,0.0,-2.539999999999992,-2.539999999999992,1.53,1
51,2024-11-02,,Flyweight,Red,Brandon Moreno,Amir Albazi,170.18,165.1,177.8,172.72,30,31,-180.0,150.0,1.59,1.39,5.0800000000000125,5.0800000000000125,0.20000000000000018,1
